,url,res,var,year,month
76,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198505.nc,30arcsec,pr,1985,5
77,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198506.nc,30arcsec,pr,1985,6
78,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198507.nc,30arcsec,pr,1985,7
79,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198508.nc,30arcsec,pr,1985,8
80,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198509.nc,30arcsec,pr,1985,9
81,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198510.nc,30arcsec,pr,1985,10
82,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198511.nc,30arcsec,pr,1985,11
83,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198512.nc,30arcsec,pr,1985,12
84,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198601.nc,30arcsec,pr,1986,1
85,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198602.nc,30arcsec,pr,1986,2
86,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198603.nc,30arcsec,pr,1986,3
87,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198604.nc,30arcsec,pr,1986,4
88,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198605.nc,30arcsec,pr,1986,5
89,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198606.nc,30arcsec,pr,1986,6
90,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198607.nc,30arcsec,pr,1986,7
91,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198608.nc,30arcsec,pr,1986,8
92,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198609.nc,30arcsec,pr,1986,9
93,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198610.nc,30arcsec,pr,1986,10
94,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198611.nc,30arcsec,pr,1986,11
95,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198612.nc,30arcsec,pr,1986,12
96,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198701.nc,30arcsec,pr,1987,1
97,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198702.nc,30arcsec,pr,1987,2
98,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198703.nc,30arcsec,pr,1987,3
99,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198704.nc,30arcsec,pr,1987,4
100,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198705.nc,30arcsec,pr,1987,5
101,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198706.nc,30arcsec,pr,1987,6
102,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198707.nc,30arcsec,pr,1987,7
103,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198708.nc,30arcsec,pr,1987,8
104,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198709.nc,30arcsec,pr,1987,9
105,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198710.nc,30arcsec,pr,1987,10
106,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198711.nc,30arcsec,pr,1987,11
107,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198712.nc,30arcsec,pr,1987,12
